ang_l_last,ang_l_mean,ang_l_min,ang_l_max,ang_l_std,ang_r_last,ang_r_mean,ang_r_min,ang_r_max,ang_r_std,ang_h_last,ang_h_mean,ang_h_min,ang_h_max,ang_h_std,grip_last,grip_mean,grip_min,grip_max,grip_std,trunk_last,trunk_mean,trunk_min,trunk_max,trunk_std,ang_l_vl,ang_l_vm,ang_l_al,ang_l_am,ang_r_vl,ang_r_vm,ang_r_al,ang_r_am,ang_h_vl,ang_h_vm,ang_h_al,ang_h_am,hip_y_vl,hip_y_vm,hip_y_al,hip_y_am,fase
73.13388393039195,73.13388393039195,73.13388393039195,73.13388393039195,0.0,68.64593726244082,68.64593726244082,68.64593726244082,68.64593726244082,0.0,160.98218839244956,160.98218839244956,160.98218839244956,160.98218839244956,0.0,198.08514042721475,198.08514042721475,198.08514042721475,198.08514042721475,0.0,171.00014496907878,171.00014496907878,171.00014496907878,171.00014496907878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
72.72769500151145,72.9307894659517,72.72769500151145,73.13388393039195,0.20309446444024815,67.1446175103535,67.89527738639717,67.1446175103535,68.64593726244082,0.7506598760436631,160.3280283313645,160.65510836190703,160.3280283313645,160.98218839244956,0.32708003054253254,198.75888646062947,198.4220134439221,198.08514042721475,198.75888646062947,0.3368730167073579,170.85169511446446,170.92592004177163,170.85169511446446,171.00014496907878,0.07422492730715646,-12.185667866414889,-6.092833933207444,-365.57003599244666,-182.78501799622333,-45.03959256261979,-22.519796281309894,-1351.1877768785937,-675.5938884392968,-19.624801832551952,-9.812400916275976,-588.7440549765586,-294.3720274882793,268.6533683538437,134.32668417692184,8059.601050615311,4029.8005253076553,2
72.1488557400482,72.67014489065053,72.1488557400482,73.13388393039195,0.4041898443289934,66.03437211594598,67.27497562958011,66.03437211594598,68.64593726244082,1.0701442451161671,158.72546512055527,160.01189394812312,158.72546512055527,160.98218839244956,0.9480350530361462,199.6320481911963,198.8253583596802,198.08514042721475,199.6320481911963,0.6332691858334052,170.5255705624762,170.79247021533982,170.5255705624762,171.00014496907878,0.19821858028918968,-17.365177843897328,-9.850281903437406,-155.38529932447318,-173.6517784389733,-33.30736183222541,-26.1156514649484,351.9669219118313,-333.0736183222541,-48.076896324276674,-22.567232718942876,-853.5628347517417,-480.7689632427667,104.05105769634247,124.23480868339539,-4938.069319725037,1040.5105769634247,2
70.52707958640438,72.134378564589,70.52707958640438,73.13388393039195,0.9917982360936397,64.14850341579903,66.49335757613484,64.14850341579903,68.64593726244082,1.6406361185318188,154.52569372775764,158.64034389303174,154.52569372775764,160.98218839244956,2.5134690185483346,201.28744359657907,199.44087966890493,198.08514042721475,201.28744359657907,1.1989044343164839,171.0170161077486,170.84860668844203,170.5255705624762,171.0170161077486,0.1972862514620743,-48.65328460931465,-19.551032579906718,-938.6432029625198,-364.8996345698599,-56.57606100440873,-33.73075384981348,-698.0609751654995,-424.32045753306545,-125.99314178392888,-48.423709985189376,-2337.487363789566,-944.9485633794666,42.25189805030823,103.7390810251236,-1853.9747893810272,316.8892353773117,2
70.28203606675349,71.7639100650219,70.28203606675349,73.13388393039195,1.1558194623645859,61.29598491312997,65.45388304353386,61.29598491312997,68.64593726244082,2.544676544169998,149.19060457213794,156.750396028853,149.19060457213794,160.98218839244956,4.39791233689546,203.73892548168774,200.30048883146148,198.08514042721475,203.73892548168774,2.0262302740566795,171.4130815105455,170.96150165286272,170.5255705624762,171.4130815105455,0.2865634030698459,-7.35130558952676,-17.111087181830726,1239.0593705936367,-44.1078335371606,-85.5755550800717,-44.099714095865124,-869.984822269889,-513.4533304804302,-160.05267466859095,-70.74950292186969,-1021.7859865398623,-960.3160480115457,43.43142628669739,91.67755007743835,35.385847091674805,260.5885577201843,2
71.81716030832605,71.7727851055726,70.28203606675349,73.13388393039195,1.0553006000067071,59.40464196327167,64.4456761968235,59.40464196327167,68.64593726244082,3.2370594924214404,146.10566335371234,154.97627391632955,146.10566335371234,160.98218839244956,5.644074218733388,206.13036623812602,201.27213506590556,198.08514042721475,206.13036623812602,2.8533879793676995,171.51132712658676,171.05313923181674,170.5255705624762,171.51132712658676,0.3322941207703968,46.05372724717682,-6.583618110329468,1602.1509851011074,230.26863623588406,-56.740288495748956,-46.206476495845756,865.0579975296821,-283.70144247874475,-92.54823655276795,-74.38262519368607,2025.1331434746903,-462.74118276383973,43.84853482246399,83.70604753494263,12.513256072998047,219.24267411231995,2
69.27004472234684,71.41525076511176,69.27004472234684,73.13388393039195,1.3120785000369661,56.24499458298407,63.2741502519893,56.24499458298407,68.64593726244082,4.149271753667501,141.49022597099164,153.0496956384241,141.49022597099164,160.98218839244956,7.040951689702779,205.92881245678853,201.93737469317458,198.08514042721475,206.13036623812602,3.1038633934349398,171.6535326870375,171.13890972541972,170.5255705624762,171.6535326870375,0.3725381196704404,-76.4134675793764,-16.559310891621887,-3674.015844796597,-327.4862896258989,-94.78942140862806,-53.146897197671805,-1141.473987386373,-406.24037746554876,-138.463121481621,-83.53698180624819,-1377.4465478655911,-593.4133777783757,56.906254291534424,79.87750564302716,391.73158407211304,243.88394696371896,2
68.80245922223536,71.08865182225222,68.80245922223536,73.13388393039195,1.501007770737941,54.216126400055366,62.14189727049755,54.216126400055366,68.64593726244082,4.90289473410746,138.9093505627866,151.28215250396943,138.9093505627866,160.98218839244956,8.0775978319512,206.58734555655317,202.5186210510969,198.08514042721475,206.58734555655317,3.285521765207631,171.6649927683997,171.2046701057922,170.5255705624762,171.6649927683997,0.3894965502655875,-14.027565003344478,-16.24284265558721,1871.5770772809578,-52.603368762541834,-60.86604548786113,-54.11179073394547,1017.7012776230079,-228.24767057947923,-77.42626224615094,-82.77314186123604,1831.1057770641014,-290.348483423066,31.086124777793884,73.77858303487301,-774.6038854122162,116.57296791672707,2
67.80863515533387,70.72420552592796,67.80863515533387,73.13388393039195,1.7507875698175042,51.53886207669627,60.96378224896408,51.53886207669627,68.64593726244082,5.698340640292015,136.08959522803482,149.59409058442114,136.08959522803482,160.98218839244956,8.9885638023635,206.08133723300193,202.9144784046419,198.08514042721475,206.58734555655317,3.293762545425516,171.93592258481036,171.28592038123867,170.5255705624762,171.93592258481036,0.4332020601263503,-29.814722007044452,-17.750829250193572,-473.6147101109992,-99.38240669014822,-80.31792970077291,-57.02358395248185,-583.5565263873534,-267.72643233590975,-84.59266004255369,-82.97531054804911,-214.99193389208244,-281.97553347517896,35.919198989868164,69.57198480765025,144.9922263622284,119.73066329956055,2
66.98642847379482,70.35042782071464,66.98642847379482,73.13388393039195,2.0040257881064085,49.51103451094725,59.818507475162406,49.51103451094725,68.64593726244082,6.40537791352561,131.10095595443727,147.74477712142274,131.10095595443727,160.98218839244956,10.173224359370396,202.30177797157396,202.8532083613351,198.08514042721475,206.58734555655317,3.1301390861980116,172.28769902738938,171.38609824585373,170.5255705624762,172.28769902738938,0.5091346221162584,-24.66620044617173,-18.442366369791387,154.4556468261817,-73.99860133851521,-60.83482697247064,-57.404708254480724,584.4930818490682,-182.50448091741194,-149.6591782079267,-89.64369731403687,-1951.9955449611898,-448.97753462378006,-17.66642689704895,60.84814363718033,-1607.5687766075134,-52.99928069114685,2
